"caseid" "gender" "race" "c1rrscal" "c1rrtsco" "c1rmscal" "c1rmtsco" "c1rgscal" "c1rgtsco" "c1fmotor" "c1gmotor" "c2rrscal" "c2rrtsco" "c2rmscal" "c2rmtsco" "c2rgscal" "c2rgtsco" "c3rrscal" "c3rrtsco" "c3rmscal" "c3rmtsco" "c3rgscal" "c3rgtsco" "c4rrscal" "c4rrtsco" "c4rmscal" "c4rmtsco" "c4rgscal" "c4rgtsco" "p1learn" "p1contro" "p1social" "t1learn" "t1contro" "t1interp" "t1extern" "t1intern" "p1center" "p1disabl" "p1htotal" "p1hfamil" "p1firkdg" "p1hrsprk" "wkmomed" "wkdaded" "wklangst" "wksesl" "wksesq5" "s2kpupri" "p1count" "plshare" "p1pencil" "p1still" "p1letter" "p1verbal" "p1expect" "p1readbo" "p1tellst" "p1singso" "p1helpar" "p1chores" "p1games" "p1nature" "p1build" "p1sport" "p1chlboo" "p1chsesa" "p2librar" "p2safepl" "p2garbag" "p2drug" "p2burglr" "p2violen" "p2vacant" "p2bktog"
"57" 57 2 1 19 46 14 44 23 52 7 8 30 50 22 45 20 43 38 52 35 54 26 45 53 49 52 59 30 44 3.67 2.8 3.33 2.83 2.5 3.4 1 2 2 2 5 1 1 12 2 1 2 36 1 1 3 1 1 1 4 1 2 3 2 2 2 3 3 4 2 2 100 1 1 2 3 3 3 3 3 2
"58" 58 1 3 25 55 17 48 18 46 7 6 33 52 26 51 23 45 34 49 39 57 28 47 52 49 46 53 32 47 2.83 2.6 4 3.67 3.25 3.2 1 2 1 2 5 1 1 24 2 2 2 36 1 1 2 2 2 2 2 1 2 2 2 1 4 2 2 1 2 4 10 1 2 2 3 3 1 3 3 2
"59" 59 2 1 23 52 23 57 17 45 7 8 42 60 29 53 27 50 39 53 33 51 26 45 50 48 41 49 30 45 3.33 2.6 3.33 2 3 3 2.4 1.5 1 2 4 1 1 32 2 3 2 36 1 1 3 2 3 3 2 1 3 2 2 3 2 1 2 2 2 3 20 1 2 3 3 3 3 3 3 7
"60" 60 2 1 20 48 15 45 19 47 5 5 36 55 25 49 24 47 40 54 31 49 23 42 54 50 39 47 33 48 2.5 2.4 3.33 3.83 3.5 3.8 1.6 1.25 2 2 5 1 1 53 3 1 2 36 1 1 3 2 2 2 2 2 6 2 2 2 2 3 2 2 1 3 25 1 2 2 3 3 3 3 2 2
"61" 61 2 8 26 56 22 56 29 59 7 6 40 58 25 49 30 54 50 59 31 49 31 52 61 54 40 48 36 52 3.33 1.6 4 3 3 2.8 2.2 1 1 2 3 2 1 0 2 3 2 36 1 1 2 2 3 2 2 3 2 3 2 2 2 3 3 2 2 2 50 2 1 1 1 1 1 2 1 7
"62" 62 1 2 14 37 8 28 9 29 3 8 20 36 13 29 14 33 23 36 14 27 18 35 31 33 22 28 23 36 2 3 2.67 2.33 2.75 2.6 1.6 2 1 2 5 1 1 85 2 3 2 36 1 1 2 2 2 2 2 2 3 1 1 2 2 3 4 1 1 2 7 1 2 2 3 3 3 3 2 1
"63" 63 2 1 15 40 9 32 14 39 6 6 14 26 18 40 15 35 17 27 22 40 18 36 33 35 32 40 30 45 3.33 3.2 3.33 2 3.33 3.4 1.6 1 1 1 4 1 1 45 3 2 2 36 1 1 1 1 1 4 1 1 4 4 4 4 3 4 4 2 1 4 200 2 2 3 3 3 3 3 3 7
"64" 64 1 1 14 38 9 31 16 43 5 2 32 51 22 45 22 45 38 52 33 51 29 48 55 51 44 52 29 43 2.17 2.2 2.67 3.33 3.5 3.4 1.2 1.25 2 1 4 1 1 0 2 2 2 36 1 1 2 2 2 2 2 2 6 2 4 4 2 4 2 4 2 4 75 2 2 3 3 3 3 3 3 2
"65" 65 1 4 13 34 10 33 18 45 5 8 31 50 20 42 24 47 35 50 32 50 27 46 54 50 48 56 33 48 2.83 2.8 3.33 2.17 2.75 2.2 2 1 1 2 4 1 1 3 3 3 1 36 1 1 2 2 2 2 2 2 6 4 3 3 2 4 2 2 2 2 20 1 2 2 3 3 3 3 3 2
"66" 66 1 5 23 52 16 47 11 34 6 3 27 45 23 46 20 41 35 50 34 52 18 35 53 50 38 46 28 43 3 2.8 4 3 3.75 3.2 1.2 1 1 2 9 1 1 15 1 3 1 36 1 1 3 2 2 2 2 2 4 4 3 4 4 2 3 3 4 3 10 1 1 3 3 3 3 3 3 7
"67" 67 1 3 20 49 17 49 13 37 6 4 30 50 27 51 20 42 32 46 33 51 22 41 50 48 45 52 24 38 2.83 1.8 3 2.83 2 2.2 2.4 2 1 2 6 1 1 15 3 2 2 36 1 1 3 2 3 2 3 3 4 2 2 3 2 1 2 1 4 3 70 1 2 2 2 3 3 2 3 2
"68" 68 1 4 12 33 9 31 14 40 7 3 26 44 12 28 19 41 26 40 14 27 23 42 26 26 18 20 28 43 2.67 2.8 3.67 2.33 2 2.8 2 1.25 1 2 7 1 1 20 2 2 1 36 1 1 2 2 2 3 2 2 6 4 4 2 4 4 2 1 3 1 10 1 1 2 2 2 2 2 3 7
